"#name","Norwegian-English dictionary"
"#version","2.4.2"
"#wordcount","8440"
"#idxfilesize","164338"
"#creationTime","2009.01.30"
"#sametypesequence","x"
"#description","Copyright: Converted by swaj under GNU Public License; Version: 1.1"
"#sourceLang","Norwegian"
"#targetLang","English"
"gravskrift","<div class=""article""><div class=""k""><b>gravskrift</b></div>epitaph</div>"
"gravstein","<div class=""article""><div class=""k""><b>gravstein</b></div>headstone</div>"
"greie","<div class=""article""><div class=""k""><b>greie</b></div>cope<br/>gadget, cope, accomplish</div>"
"greie ut","<div class=""article""><div class=""k""><b>greie ut</b></div>disentangle</div>"
"greie ut, vikle ut","<div class=""article""><div class=""k""><b>greie ut, vikle ut</b></div>disentangle</div>"
"greip","<div class=""article""><div class=""k""><b>greip</b></div>fork</div>"
"grell","<div class=""article""><div class=""k""><b>grell</b></div>gaudy, glaring</div>"
"gren","<div class=""article""><div class=""k""><b>gren</b></div>branch</div>"
"gren, avdeling","<div class=""article""><div class=""k""><b>gren, avdeling</b></div>branch</div>"
"grense","<div class=""article""><div class=""k""><b>grense</b></div>boundary<br/>frontier<br/>limit, frontier, boundary</div>"
"grensesnitt","<div class=""article""><div class=""k""><b>grensesnitt</b></div>interface</div>"
"grep","<div class=""article""><div class=""k""><b>grep</b></div>grasp, hold, grip</div>"
"gress","<div class=""article""><div class=""k""><b>gress</b></div>grass</div>"
"gressenke","<div class=""article""><div class=""k""><b>gressenke</b></div>grasswidow</div>"
"gressenkemann","<div class=""article""><div class=""k""><b>gressenkemann</b></div>grasswidower</div>"
"gresshoppe","<div class=""article""><div class=""k""><b>gresshoppe</b></div>grasshopper</div>"
"gressklipper","<div class=""article""><div class=""k""><b>gressklipper</b></div>lawnmower</div>"
"gressløk","<div class=""article""><div class=""k""><b>gressløk</b></div>chive</div>"
"gressplen","<div class=""article""><div class=""k""><b>gressplen</b></div>lawn</div>"
"gretten","<div class=""article""><div class=""k""><b>gretten</b></div>fretful<br/>grouchy<br/>grumpy, fretful, grouchy, querulous</div>"
"gretten, sur","<div class=""article""><div class=""k""><b>gretten, sur</b></div>grumpy</div>"
"greve","<div class=""article""><div class=""k""><b>greve</b></div>count, earl</div>"
"greve, jarl","<div class=""article""><div class=""k""><b>greve, jarl</b></div>earl</div>"
"grevinne","<div class=""article""><div class=""k""><b>grevinne</b></div>countess</div>"
"grille","<div class=""article""><div class=""k""><b>grille</b></div>grill</div>"
"grille, rist","<div class=""article""><div class=""k""><b>grille, rist</b></div>grill</div>"
"grillfest","<div class=""article""><div class=""k""><b>grillfest</b></div>barbecue</div>"
"grillrist","<div class=""article""><div class=""k""><b>grillrist</b></div>gridiron</div>"
"grind","<div class=""article""><div class=""k""><b>grind</b></div>gate</div>"
"grine","<div class=""article""><div class=""k""><b>grine</b></div>cry</div>"
"grine, gråte","<div class=""article""><div class=""k""><b>grine, gråte</b></div>cry</div>"
"gripe","<div class=""article""><div class=""k""><b>gripe</b></div>catch, grab, grapple, grasp, capture, grip</div>"
"gripe inn","<div class=""article""><div class=""k""><b>gripe inn</b></div>intervene</div>"
"gripe inn i","<div class=""article""><div class=""k""><b>gripe inn i</b></div>interpose</div>"
"gripe, forstå, grep","<div class=""article""><div class=""k""><b>gripe, forstå, grep</b></div>grasp</div>"
"gripe, grep, fengsle","<div class=""article""><div class=""k""><b>gripe, grep, fengsle</b></div>grip</div>"
"gripe, snappe","<div class=""article""><div class=""k""><b>gripe, snappe</b></div>grab</div>"
"gris","<div class=""article""><div class=""k""><b>gris</b></div>hog, pig</div>"
"gris, svin","<div class=""article""><div class=""k""><b>gris, svin</b></div>hog</div>"
"griskhet","<div class=""article""><div class=""k""><b>griskhet</b></div>avarice</div>"
"gro","<div class=""article""><div class=""k""><b>gro</b></div>heal up</div>"
"grogg","<div class=""article""><div class=""k""><b>grogg</b></div>grog</div>"
"gross","<div class=""article""><div class=""k""><b>gross</b></div>gross</div>"
"grotte","<div class=""article""><div class=""k""><b>grotte</b></div>cave<br/>cavern, cave, grotto, den<br/>grotto</div>"
"grotte, hule","<div class=""article""><div class=""k""><b>grotte, hule</b></div>den</div>"
"grotte, stor hule","<div class=""article""><div class=""k""><b>grotte, stor hule</b></div>cavern</div>"
"grov","<div class=""article""><div class=""k""><b>grov</b></div>coarse<br/>gruff, coarse, gross</div>"
"grov, barsk","<div class=""article""><div class=""k""><b>grov, barsk</b></div>gruff</div>"
"grufull","<div class=""article""><div class=""k""><b>grufull</b></div>ghastly</div>"
"grufull, uhyggelig, likblek","<div class=""article""><div class=""k""><b>grufull, uhyggelig, likblek</b></div>ghastly</div>"
"grundig","<div class=""article""><div class=""k""><b>grundig</b></div>exhaustive</div>"
"grundig, uttømmende","<div class=""article""><div class=""k""><b>grundig, uttømmende</b></div>exhaustive</div>"
"grunneier","<div class=""article""><div class=""k""><b>grunneier</b></div>landholder</div>"
"grunnlegge","<div class=""article""><div class=""k""><b>grunnlegge</b></div>found</div>"
"grunnleggelse","<div class=""article""><div class=""k""><b>grunnleggelse</b></div>foundation</div>"
"grunnleggende","<div class=""article""><div class=""k""><b>grunnleggende</b></div>formative</div>"
"grunnmur","<div class=""article""><div class=""k""><b>grunnmur</b></div>foundation</div>"
"grunnmur, legat, grunnleggelse, fundament","<div class=""article""><div class=""k""><b>grunnmur, legat, grunnleggelse, fundament</b></div>foundation</div>"
"grunnskole","<div class=""article""><div class=""k""><b>grunnskole</b></div>elementary school</div>"
"grunnstoff","<div class=""article""><div class=""k""><b>grunnstoff</b></div>element</div>"
"grunnstoff, element","<div class=""article""><div class=""k""><b>grunnstoff, element</b></div>element</div>"
"grunnstøte","<div class=""article""><div class=""k""><b>grunnstøte</b></div>ground</div>"
"gruoppvekkende","<div class=""article""><div class=""k""><b>gruoppvekkende</b></div>horrifying</div>"
"gruppe","<div class=""article""><div class=""k""><b>gruppe</b></div>faction, group</div>"
"gruppe, fraksjon","<div class=""article""><div class=""k""><b>gruppe, fraksjon</b></div>faction</div>"
"gruppe, gruppere","<div class=""article""><div class=""k""><b>gruppe, gruppere</b></div>group</div>"
"gruppere","<div class=""article""><div class=""k""><b>gruppere</b></div>group</div>"
"grus","<div class=""article""><div class=""k""><b>grus</b></div>gravel<br/>grit, gravel</div>"
"grus, strø, sandkorn, mot","<div class=""article""><div class=""k""><b>grus, strø, sandkorn, mot</b></div>grit</div>"
"gruslagt","<div class=""article""><div class=""k""><b>gruslagt</b></div>gravelled</div>"
"grusom","<div class=""article""><div class=""k""><b>grusom</b></div>cruel</div>"
"grusomhet","<div class=""article""><div class=""k""><b>grusomhet</b></div>atrocity<br/>cruelty, atrocity<br/>cruelty</div>"
"grynt","<div class=""article""><div class=""k""><b>grynt</b></div>grunt</div>"
"grynte","<div class=""article""><div class=""k""><b>grynte</b></div>grunt</div>"
"grynte, grynt","<div class=""article""><div class=""k""><b>grynte, grynt</b></div>grunt</div>"
"gryte","<div class=""article""><div class=""k""><b>gryte</b></div>pot, jug</div>"
"gryte, potte","<div class=""article""><div class=""k""><b>gryte, potte</b></div>pot</div>"
"gryteklut","<div class=""article""><div class=""k""><b>gryteklut</b></div>kettleholder</div>"
"grå","<div class=""article""><div class=""k""><b>grå</b></div>gray<br/>grey, gray<br/>grey</div>"
"grådig","<div class=""article""><div class=""k""><b>grådig</b></div>gluttonous, greedy<br/>gluttonous<br/>greedy</div>"
"grådighet","<div class=""article""><div class=""k""><b>grådighet</b></div>greed</div>"
"gråhåret","<div class=""article""><div class=""k""><b>gråhåret</b></div>hoary</div>"
"grålig","<div class=""article""><div class=""k""><b>grålig</b></div>grizzly</div>"
"grålig, gråsprengt","<div class=""article""><div class=""k""><b>grålig, gråsprengt</b></div>grizzly</div>"
"gråsprengt","<div class=""article""><div class=""k""><b>gråsprengt</b></div>grizzly</div>"
"gråte","<div class=""article""><div class=""k""><b>gråte</b></div>cry</div>"
"grøft","<div class=""article""><div class=""k""><b>grøft</b></div>ditch</div>"
"grønn","<div class=""article""><div class=""k""><b>grønn</b></div>green</div>"
"grønn, grøntareale","<div class=""article""><div class=""k""><b>grønn, grøntareale</b></div>green</div>"
"grønsak","<div class=""article""><div class=""k""><b>grønsak</b></div>vegetable</div>"
"grøntareale","<div class=""article""><div class=""k""><b>grøntareale</b></div>green</div>"
"Gud","<div class=""article""><div class=""k""><b>Gud</b></div>God</div>"
"gudbarn","<div class=""article""><div class=""k""><b>gudbarn</b></div>godchild</div>"
"guddommelig","<div class=""article""><div class=""k""><b>guddommelig</b></div>divine<br/>godlike, divine<br/>godlike</div>"
"guddommelighet","<div class=""article""><div class=""k""><b>guddommelighet</b></div>divinity</div>"
"guddommelighet, teologi","<div class=""article""><div class=""k""><b>guddommelighet, teologi</b></div>divinity</div>"
"gudfar","<div class=""article""><div class=""k""><b>gudfar</b></div>godfather</div>"
"gudinne","<div class=""article""><div class=""k""><b>gudinne</b></div>goddess</div>"
"gul","<div class=""article""><div class=""k""><b>gul</b></div>yellow</div>"
"gulaktig","<div class=""article""><div class=""k""><b>gulaktig</b></div>yellowish</div>"
"gull","<div class=""article""><div class=""k""><b>gull</b></div>gold</div>"
"gullsmed","<div class=""article""><div class=""k""><b>gullsmed</b></div>jeweller</div>"
"gulrot","<div class=""article""><div class=""k""><b>gulrot</b></div>carrot</div>"
"gulsott","<div class=""article""><div class=""k""><b>gulsott</b></div>jaundice</div>"
"gummi","<div class=""article""><div class=""k""><b>gummi</b></div>rubber, gum<br/>rubber</div>"
"gummi, tannkjøtt, gummiere, gom","<div class=""article""><div class=""k""><b>gummi, tannkjøtt, gummiere, gom</b></div>gum</div>"
"gummiere","<div class=""article""><div class=""k""><b>gummiere</b></div>gum</div>"
"gunstig","<div class=""article""><div class=""k""><b>gunstig</b></div>favourable</div>"
"gurgle","<div class=""article""><div class=""k""><b>gurgle</b></div>gurgle, gargle</div>"
"gurgle, gurglevann","<div class=""article""><div class=""k""><b>gurgle, gurglevann</b></div>gargle</div>"
"gurglevann","<div class=""article""><div class=""k""><b>gurglevann</b></div>gargle</div>"
"gusten","<div class=""article""><div class=""k""><b>gusten</b></div>livid</div>"
"gusten, bleik","<div class=""article""><div class=""k""><b>gusten, bleik</b></div>livid</div>"
"gutt","<div class=""article""><div class=""k""><b>gutt</b></div>boy, lad<br/>boy<br/>lad</div>"
"guvernante","<div class=""article""><div class=""k""><b>guvernante</b></div>governess</div>"
"guvernør","<div class=""article""><div class=""k""><b>guvernør</b></div>governor</div>"
"gylden","<div class=""article""><div class=""k""><b>gylden</b></div>golden</div>"
"gyldig","<div class=""article""><div class=""k""><b>gyldig</b></div>valid, good<br/>valid</div>"
"gymnast","<div class=""article""><div class=""k""><b>gymnast</b></div>gymnast</div>"
"gymnastikk","<div class=""article""><div class=""k""><b>gymnastikk</b></div>gymastics<br/>gymnastics, gymastics<br/>gymnastics</div>"
"gymnastikksal","<div class=""article""><div class=""k""><b>gymnastikksal</b></div>gymnasium</div>"
"gynekolog","<div class=""article""><div class=""k""><b>gynekolog</b></div>gynaecologist</div>"
"gynekologisk","<div class=""article""><div class=""k""><b>gynekologisk</b></div>gynaecological</div>"
"gyselig","<div class=""article""><div class=""k""><b>gyselig</b></div>gruesome</div>"
"gå","<div class=""article""><div class=""k""><b>gå</b></div>go</div>"
"gå i hi","<div class=""article""><div class=""k""><b>gå i hi</b></div>hibernate</div>"
"gå i land","<div class=""article""><div class=""k""><b>gå i land</b></div>disembark</div>"
"gå inn","<div class=""article""><div class=""k""><b>gå inn</b></div>enter</div>"
"gå ombord","<div class=""article""><div class=""k""><b>gå ombord</b></div>embark</div>"
"gå sammen i forbund","<div class=""article""><div class=""k""><b>gå sammen i forbund</b></div>federate</div>"
"gård","<div class=""article""><div class=""k""><b>gård</b></div>farm, ranch, property, estate<br/>farm<br/>ranch</div>"
"gård, kvalitet, eiendom","<div class=""article""><div class=""k""><b>gård, kvalitet, eiendom</b></div>property</div>"
"gårdbruker","<div class=""article""><div class=""k""><b>gårdbruker</b></div>farmer</div>"
"gårdbruker, bonde","<div class=""article""><div class=""k""><b>gårdbruker, bonde</b></div>farmer</div>"
"gårdsbruk","<div class=""article""><div class=""k""><b>gårdsbruk</b></div>holding</div>"
"gårdsplass","<div class=""article""><div class=""k""><b>gårdsplass</b></div>farmyard, yard<br/>farmyard</div>"
"gårdsplass, yard","<div class=""article""><div class=""k""><b>gårdsplass, yard</b></div>yard</div>"
"gås","<div class=""article""><div class=""k""><b>gås</b></div>goose</div>"
"gåsehud","<div class=""article""><div class=""k""><b>gåsehud</b></div>gooseflesh</div>"
"gåte","<div class=""article""><div class=""k""><b>gåte</b></div>enigma</div>"
"gåtefull","<div class=""article""><div class=""k""><b>gåtefull</b></div>enigmatic</div>"
"ha","<div class=""article""><div class=""k""><b>ha</b></div>have</div>"
"ha god lyst på","<div class=""article""><div class=""k""><b>ha god lyst på</b></div>hanker</div>"
"ha i pleie","<div class=""article""><div class=""k""><b>ha i pleie</b></div>foster</div>"
"ha til hensikt","<div class=""article""><div class=""k""><b>ha til hensikt</b></div>intend</div>"
"ha, få","<div class=""article""><div class=""k""><b>ha, få</b></div>have</div>"
"hage","<div class=""article""><div class=""k""><b>hage</b></div>garden</div>"
"hagearbeid","<div class=""article""><div class=""k""><b>hagearbeid</b></div>gardening</div>"
"hagebruk","<div class=""article""><div class=""k""><b>hagebruk</b></div>gardening, horticulture<br/>horticulture</div>"
"hagebruk, hagearbeid","<div class=""article""><div class=""k""><b>hagebruk, hagearbeid</b></div>gardening</div>"
